Date,Time,Weather,Device,Food left in bowl,Counts,Duration
8/22/2022,AM,Clear,Pipe,Y,86,22520
8/22/2022,PM,Clear,Ball,Y,41,21002
8/23/2022,AM,Rain,Ball,Y,28,6188
8/23/2022,PM,Rain,Pipe,Y,64,9011
8/29/2022,AM,Rain,Basket,Y,70,37401
8/29/2022,PM,Rain,Box,Y,48,30666
8/30/2022,AM,Cloudy,Box,Y,17,12632
8/30/2022,PM,Cloudy,Basket,Y,116,64039
9/6/2022,AM,Clear,Pipe,Y,81,28743
9/6/2022,PM,Clear,Basket,Y,116,62663
9/7/2022,AM,Clear,Basket,Y,80,46476
9/7/2022,PM,Clear,Pipe,Y,82,46960
9/12/2022,AM,Clear,Ball,Y,44,26741
9/12/2022,PM,Cloudy,Box,Y,16,9125
9/13/2022,AM,Clear,Box,Y,25,9475
9/13/2022,PM,Clear,Ball,Y,10,8618
