Date,Time,Weather,Location,Device,CP,LMD,AP,WD,CHACA,NIC,MAGPIE,PS,BM,VS,Lemur
8/24/2022,AM,Clear,1,Ball,4,17,9,,,,,,,,
8/24/2022,AM,Clear,2,Box,,5,,,,,,,,,
8/24/2022,AM,Clear,3,Pipe,2,19,,3,4,,,,,,
8/24/2022,AM,Clear,4,Basket,,27,2,,,,,,,,
8/24/2022,PM,Clear,1,Ball,1,30,14,,,,,,,,
8/24/2022,PM,Clear,2,Box,,14,,2,,2,,,,,24
8/24/2022,PM,Clear,3,Pipe,,28,,,10,,,,,7,
8/24/2022,PM,Clear,4,Basket,,87,3,,,,,,,,
8/25/2022,AM,Clear,1,Ball,,21,3,,,,,,,,
8/25/2022,AM,Clear,2,Box,,5,,2,,,,,,,
8/25/2022,AM,Clear,3,Pipe,,17,,,,,,,,9,
8/25/2022,AM,Clear,4,Basket,2,57,9,,,,,,,,
8/25/2022,PM,Rain,1,Ball,7,5,,,,,,,,,
8/25/2022,PM,Rain,2,Box,,7,,,,,,,,,
8/25/2022,PM,Rain,3,Pipe,,19,,7,15,,,,,,
8/25/2022,PM,Rain,4,Basket,,93,4,,,,,,,,
8/26/2022,AM,Rain,1,Ball,,7,2,,,,,,,,
8/26/2022,AM,Rain,2,Box,2,3,,,,,,,,,
8/26/2022,AM,Rain,3,Pipe,3,16,,,,,,,,3,
8/26/2022,AM,Rain,4,Basket,,41,2,,,,,,,,
8/26/2022,PM,Cloudy,1,Ball,3,2,4,,31,,,,,,
8/26/2022,PM,Cloudy,2,Box,3,13,,4,,,,,,,
8/26/2022,PM,Cloudy,3,Pipe,,7,,8,,,1,,,4,
8/26/2022,PM,Cloudy,4,Basket,,124,1,,,,,,,,
8/31/2022,AM,Clear,1,Basket,15,24,,12,7,,,6,,,
8/31/2022,AM,Clear,2,Ball,,12,,,27,,,,,,
8/31/2022,AM,Clear,3,Box,,4,,1,6,,,,,,
8/31/2022,AM,Clear,4,Pipe,,61,3,2,,,,,,,
8/31/2022,PM,Clear,1,Basket,3,31,1,5,,,,,,,2
8/31/2022,PM,Clear,2,Ball,,35,,16,28,,,,,,
8/31/2022,PM,Clear,3,Box,,6,,3,,,,,,4,
8/31/2022,PM,Clear,4,Pipe,,15,6,,29,,,,,29,6
9/1/2022,AM,Clear,1,Basket,4,30,,6,19,,,,,,
9/1/2022,AM,Clear,2,Ball,3,20,,,,,,,,,
9/1/2022,AM,Clear,3,Box,4,11,,,,,,,1,,
9/1/2022,AM,Clear,4,Pipe,4,31,1,,5,,,,,,
9/1/2022,PM,Rain,1,Basket,2,27,1,8,,,,,,,19
9/1/2022,PM,Rain,2,Ball,22,13,,7,10,,,,,,7
9/1/2022,PM,Rain,3,Box,,7,3,,,,,,,,
9/1/2022,PM,Rain,4,Pipe,4,28,2,,,,,,,,7
9/2/2022,AM,Rain,1,Basket,5,23,5,6,,2,,,,,1
9/2/2022,AM,Rain,2,Ball,10,26,,3,,,,,,,
9/2/2022,AM,Rain,3,Box,,19,,4,,,,,,,
9/2/2022,AM,Rain,4,Pipe,,89,,8,,2,,,,,
9/2/2022,PM,Rain,1,Basket,6,23,4,31,,,,,,,27
9/2/2022,PM,Rain,2,Ball,,41,,,5,,,,,,
9/2/2022,PM,Rain,3,Box,,5,,8,,,,,4,,
9/2/2022,PM,Rain,4,Pipe,,120,24,,,,,,3,,1
9/5/2022,AM,Rain,1,Pipe,4,25,15,3,,1,,,,3,
9/5/2022,AM,Rain,2,Basket,10,31,,2,52,,,,,,
9/5/2022,AM,Rain,3,Ball,,,,1,6,,,,,,
9/5/2022,AM,Rain,4,Box,,26,,9,,,,,,,
9/5/2022,PM,Rain,1,Pipe,10,23,1,,,,,,,,
9/5/2022,PM,Rain,2,Basket,20,44,2,12,,,,,2,,
9/5/2022,PM,Rain,3,Ball,,23,,7,,,,,,15,
9/5/2022,PM,Rain,4,Box,,19,12,9,,,,,,,
9/8/2022,AM,Clear,1,Pipe,6,11,,,,3,,,,,
9/8/2022,AM,Clear,2,Basket,3,42,,19,,,,,,,
9/8/2022,AM,Clear,3,Ball,,9,,4,6,,,,,,
9/8/2022,AM,Clear,4,Box,,32,7,,,,,,,,
9/8/2022,PM,Clear,1,Pipe,5,29,,14,,,,,,,3
9/8/2022,PM,Clear,2,Basket,,63,,6,25,,,,,,6
9/8/2022,PM,Clear,3,Ball,,19,,3,,,,,,,
9/8/2022,PM,Clear,4,Box,,25,,,,,,,,,
9/9/2022,AM,Rain,1,Pipe,4,31,,22,,,,,,,
9/9/2022,AM,Rain,2,Basket,,42,,4,14,,,,,,
9/9/2022,AM,Rain,3,Ball,,9,,10,,,,,,,
9/9/2022,AM,Rain,4,Box,,23,,,,,,,,,
9/9/2022,PM,Rain,1,Pipe,13,5,,,,,,,,,
9/9/2022,PM,Rain,2,Basket,22,6,,,9,,,,,,2
9/9/2022,PM,Rain,3,Ball,,14,,,6,3,,,,,
9/9/2022,PM,Rain,4,Box,,20,3,,,,,,,,
9/12/2022,AM,Rain,1,Box,,2,,,,,,,,,
9/12/2022,AM,Rain,2,Pipe,6,14,1,8,,3,,,,,
9/12/2022,AM,Rain,3,Basket,,45,,,,,,,,,
9/12/2022,AM,Rain,4,Ball,,3,,,42,,,,,,
9/12/2022,PM,Clear,1,Box,,2,4,,,,,,,,16
9/12/2022,PM,Clear,2,Pipe,,1,,,15,,,,,8,
9/12/2022,PM,Clear,3,Basket,,32,,16,,,,8,,,
9/12/2022,PM,Clear,4,Ball,,14,11,1,,,,,,,
9/13/2022,AM,Rain,1,Box,,11,,,,,,5,,,
9/13/2022,AM,Rain,2,Pipe,5,43,,11,,,,,,,
9/13/2022,AM,Rain,3,Basket,2,31,,,36,,,,,,
9/13/2022,AM,Rain,4,Ball,,23,1,7,,,,,,,
9/13/2022,PM,Cloudy,1,Box,,2,,,,,,,,5,
9/13/2022,PM,Cloudy,2,Pipe,12,14,,,20,,,,,,
9/13/2022,PM,Cloudy,3,Basket,,,,,15,,,,,,
9/13/2022,PM,Cloudy,4,Ball,4,14,3,1,,,,,,,
9/16/2022,AM,Clear,1,Box,,1,,,,,,,,2,
9/16/2022,AM,Clear,2,Pipe,3,39,3,,,,,,,,
9/16/2022,AM,Clear,3,Basket,1,7,,1,5,1,,,,,
9/16/2022,AM,Clear,4,Ball,,19,2,1,,,,,,,
9/16/2022,PM,Clear,1,Box,,3,,,,,,,,,6
9/16/2022,PM,Clear,2,Pipe,12,7,6,,2,,,,,,
9/16/2022,PM,Clear,3,Basket,1,7,,,,,,,,,
9/16/2022,PM,Clear,4,Ball,,11,3,,,,,,,,
